443,"OESE test idea",760,1,1329421998,1329421998,"<p>OESE test idea..</p>","Awaiting Review"
444,"OESE Challenge coming soon!",760,1,1329433577,1329433577,"<p>Coming Soon..</p>","Awaiting Review"
447,"Test Idea Feb 21",760,1,1329845064,1329940376,"<p>Maybe it would be a good idea to have a new idea menu item for customized ideas. This item could be displayed for specific groups and named however they like. It could also theoretically have unique fields, and different status or category options than the default ideas. It could be used alongside the other Ideas or in place of it.!</p>","Under Review"
181,"Timing of our meetings",9,1,1305134651,1305134960,"<p>When should the OM service directors meet?</p>",Implemented
240,"Cash Bonus for completing closeouts",16,1,1309456205,1322065840,"<p>It is tough to get people motivated to do closeouts. Therefor, I suggest that Jim Shelton gives everyone $10 per closeout, as motivation. The first program officers who complete all their closeouts on team can get a $50 bonus. If the whole team finishes their closeouts on time, everyone gets an additional $25, and if all of OII gets them done, we get $75.</p><p>(I don&#39;t actually support this idea, its just an example for the TAH group. If this somehow ends up on the actual IdeaEngine, please ignore).</p>","Under Review"
405,"Use Live Meeting for G5 tech support",16,1,1322066029,1322512377,"<p>Have you ever had a problem with G5, and wished that the G5 helpdesk could just see your computer? Or the other way around, do you wish you could see THEIR computer, so that they could walk you through a complex process? Well now that our email has been updated with Live Meeting, we can do just that!</p>",Implemented
451,"recorded webinars",126,1,1330010930,1337807148,"<p>&nbsp;</p><p style=""margin: 0px 0px 20px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; vertical-align: baseline; line-height: 20px; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; ""><strong style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: transparent; line-height: inherit; "">IDEA ENGINE ADMINISTRATOR&#39;S NOTE</strong></p><p style=""margin: 0px 0px 20px; padding: 0px; border: 0px; outline: 0px; font-size: 13px; vertical-align: baseline; line-height: 20px; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; ""><strong style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: transparent; line-height: inherit; "">PLEASE CLICK&nbsp;<a href=""http://www.ideaengine.ed.gov/oese/node/451#comment-453"" style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: transparent; line-height: inherit; color: rgb(74, 165, 203); text-decoration: none; ""><span style=""margin: 0px; padding: 0px; border: 0px; outline: 0px; vertical-align: baseline; background-color: transparent; line-height: inherit; "">HERE</span></a>&nbsp;FOR AN UPDATE ON THIS ISSUE.</strong></p><p>As increased&nbsp;Technical Assistance&nbsp;has become&nbsp;routine, the underlying IT infrastructure to support this it has failed to keep pace in some areas. For example, we are currently are&nbsp;limited to&nbsp;1&nbsp;GB of storage space for&nbsp;WebEx recordings. This means that every time OESE staff facilitates and records a webinar (for prospective applicants, grantees, reviewers, etc.); the recorded webinar is only available for viewing for a short period of time. WebEx facilitators in OESE frequently receive messages that we are approaching our storage limit, and that we must delete recorded sessions.</p><p>Is WebEx able to offer increased storage space at a reasonable cost? There have been major improvements in IT lately (increased mailbox size. GEMS, the prospect of SharePoint), so this is relatively minor. But more storage space in WebEx (or the ability to disseminate recorded webinars in another format) would improve TA and eliminate some wasted time.</p>","In Progress"
452,"Modernize grant mailouts",141,1,1330016906,1330016906,"<p>We live in an electronic information era. We email documents, check our bank accounts online, and collaborate in web forums.</p><p>Yet we mail out 4,400 REAP grants by hand.</p><p>The collective investment of time is staggering: under our current system every one of the 4,400 REAP grants must be DUNS-verified, printed, copied staged, signed, stuffed, and mailed. Just the act of coordinating each of those steps is herculean. The process of moving&nbsp;<em>the paperwork alone</em> takes an entire team (plus some calls for all-hands) about a month of working full time.</p><p>Including the address sheet, GAN (in triplicate), attachments (don&#39;t use your cell phone while driving! don&#39;t give money to ACORN!), colleague memo, and banking information, there are 27 pages in each grant.</p><p>&nbsp;</p><p>By the numbers:</p><p>4400 grants x 27 pages = <strong>120,000 pages</strong> <em>per year</em>.</p><p>120,000 pages is a stack of paper <strong>nearly as high as the Air and Space Museum</strong>.</p><p>7 team members x 8 hours per day x 20 workdays per month = <strong>1,120 man hours</strong> to handle 120,000 pieces of paper</p><p>1,120 man hours x $35.88 <a href=""http://www.opm.gov/oca/12tables/html/dcb_h.asp"">per hour</a>&nbsp;= <strong>$40,186&nbsp;<u><em>in man-hour costs alone</em></u> </strong>to handle 120,000 pieces of paper</p><p>&nbsp;</p><p>In an age of austerity, with shrinking staff in OESE and precious little time to devote to the Department&#39;s priorities of monitoring, outreach, and technical assistance, it is difficult to argue that it is wise to pay a team $40,000 to spend a thousand hours pushing paper.</p><p><strong>The solution: Email the GANs</strong></p><p>The Department already scans these GANs. The documents are already available in GEMS. The program office already has the email addresses of its grantees. And the money is already available to grantees in G5. Attach. Click. Send. Done. Archive for the record if we need to. There are datestamps and delivery receipts built in.</p><p>There are countless benefits: more time to monitor, more time to engage grantees, less tedium, higher morale, more trees, and happier taxpayers. We should strongly consider electronic grant notification.</p>","Awaiting Review"
454,"Automate process for correspondence",829,1,1330542462,1335973653,"<p>&nbsp;</p><p style=""margin-top: 0px; margin-right: 0px; margin-bottom: 20px; margin-left: 0px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; border-top-width: 0px; border-right-width: 0px; border-bottom-width: 0px; border-left-width: 0px; border-style: initial; border-color: initial; border-image: initial; outline-width: 0px; outline-style: initial; outline-color: initial; font-size: 13px; vertical-align: baseline; background-image: initial; background-attachment: initial; background-origin: initial; background-clip: initial; line-height: 20px; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; ""><strong style=""margin-top: 0px; margin-right: 0px; margin-bottom: 0px; margin-left: 0px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; border-top-width: 0px; border-right-width: 0px; border-bottom-width: 0px; border-left-width: 0px; border-style: initial; border-color: initial; border-image: initial; outline-width: 0px; outline-style: initial; outline-color: initial; vertical-align: baseline; background-image: initial; background-attachment: initial; background-origin: initial; background-clip: initial; background-color: transparent; line-height: inherit; "">IDEA ENGINE ADMINISTRATOR&#39;S NOTE</strong></p><p style=""margin-top: 0px; margin-right: 0px; margin-bottom: 20px; margin-left: 0px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; border-top-width: 0px; border-right-width: 0px; border-bottom-width: 0px; border-left-width: 0px; border-style: initial; border-color: initial; border-image: initial; outline-width: 0px; outline-style: initial; outline-color: initial; font-size: 13px; vertical-align: baseline; background-image: initial; background-attachment: initial; background-origin: initial; background-clip: initial; line-height: 20px; font-family: 'Helvetica Neue', Helvetica, Arial, sans-serif; ""><strong style=""margin-top: 0px; margin-right: 0px; margin-bottom: 0px; margin-left: 0px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; border-top-width: 0px; border-right-width: 0px; border-bottom-width: 0px; border-left-width: 0px; border-style: initial; border-color: initial; border-image: initial; outline-width: 0px; outline-style: initial; outline-color: initial; vertical-align: baseline; background-image: initial; background-attachment: initial; background-origin: initial; background-clip: initial; background-color: transparent; line-height: inherit; "">PLEASE CLICK&nbsp;<a href=""http://www.ideaengine.ed.gov/oese/node/454#comment-441"" style=""margin-top: 0px; margin-right: 0px; margin-bottom: 0px; margin-left: 0px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; border-top-width: 0px; border-right-width: 0px; border-bottom-width: 0px; border-left-width: 0px; border-style: initial; border-color: initial; border-image: initial; outline-width: 0px; outline-style: initial; outline-color: initial; vertical-align: baseline; background-image: initial; background-attachment: initial; background-origin: initial; background-clip: initial; background-color: transparent; line-height: inherit; color: rgb(74, 165, 203); text-decoration: none; ""><span style=""margin-top: 0px; margin-right: 0px; margin-bottom: 0px; margin-left: 0px; padding-top: 0px; padding-right: 0px; padding-bottom: 0px; padding-left: 0px; border-top-width: 0px; border-right-width: 0px; border-bottom-width: 0px; border-left-width: 0px; border-style: initial; border-color: initial; border-image: initial; outline-width: 0px; outline-style: initial; outline-color: initial; vertical-align: baseline; background-image: initial; background-attachment: initial; background-origin: initial; background-clip: initial; background-color: transparent; line-height: inherit; "">HERE</span></a>&nbsp;FOR AN UPDATE ON THIS ISSUE.</strong></p><p>SASA uses a paper trail for correspondence&nbsp;review and revisions.&nbsp; Is it possible to&nbsp;automate this process by forwarding documents&nbsp;via the computer and people involved can make&nbsp;revisions&nbsp;electronically instead of by paper?&nbsp; This would save&nbsp;time and effort as well as speed the process for completing correspondence and keeping up&nbsp;with&nbsp;the status of the documents being reviewed/revised.</p>","In Progress"
463,"Streamlined Process for Admin Actions on Grants",70,1,1331924546,1337890852,"<p>The OESE&nbsp;front office processes&nbsp;a lot of administrative&nbsp;actions to make&nbsp;routine changes to grants such as: DUNS changes,&nbsp;waivers of the tydings amendment, and&nbsp;late liquidation requests.&nbsp; These changes are, for the most part,&nbsp;administrative (hence, the name), and not policy issues.&nbsp; However, our current procedure is&nbsp;to have them reviewed with the same level of scrutiny as other, more important policy issues -- mainly, they must be reviewed, approved, and&nbsp;signed by the Assistant Secretary.</p><p>I think that we should either eliminate the need for a formal memo for these types of documents,&nbsp;or provide&nbsp;a more streamlined review process so that only those individuals who actually have value to add to the review process of these&nbsp;administrative documents&nbsp;spend time looking at them.&nbsp; Maybe these could be&nbsp;approved at the Director&nbsp;or Group Leader level?</p>","Under Review"
