4,60,1
5,80,1
6,60,5
7,100,5
8,60,5
8,100,3
8,100,1
7,60,1
13,60,5
33,20,26
29,20,26
27,20,26
32,100,25
28,40,25
27,100,28
28,80,28
32,20,28
29,80,28
34,20,26
32,100,43
29,100,16
32,100,49
28,100,49
33,60,16
32,100,59
29,80,56
32,40,61
33,20,61
34,80,61
32,80,16
28,100,59
32,100,66
32,100,67
32,40,69
40,80,72
42,20,72
33,60,72
32,80,72
28,100,72
27,80,72
28,100,73
43,100,77
32,100,77
28,100,77
27,100,77
32,100,74
45,100,74
32,100,82
43,100,72
28,40,82
43,100,74
29,100,74
26,80,74
47,100,78
54,100,92
43,100,92
54,80,72
47,80,72
43,100,95
45,80,95
54,100,81
28,100,81
29,80,81
48,80,81
43,60,78
56,100,72
54,100,59
33,20,59
56,100,103
54,100,44
48,100,44
56,100,44
56,100,77
54,100,107
54,100,110
56,100,111
43,100,111
28,40,111
56,100,112
27,100,112
56,80,75
56,100,16
43,100,75
57,80,75
56,100,82
43,100,112
28,100,112
56,100,116
42,100,81
40,100,81
56,80,81
56,100,119
54,100,119
43,100,119
54,100,78
60,100,122
56,100,122
45,100,122
43,100,122
32,100,122
56,100,128
54,100,128
43,100,128
61,100,7
56,100,7
54,100,7
43,100,7
40,100,7
42,100,7
32,100,7
29,80,7
59,80,72
56,100,131
56,100,132
48,100,132
61,100,82
56,100,126
43,100,133
61,100,25
61,100,64
56,100,17
60,100,17
45,100,17
56,100,137
43,100,137
48,100,72
61,80,138
56,100,138
43,100,138
61,100,139
59,20,139
56,100,139
61,100,43
56,100,43
43,100,43
61,100,141
47,100,143
64,100,141
56,100,141
54,100,89
43,100,89
65,80,72
65,100,145
64,80,145
54,100,149
64,60,16
59,60,16
43,100,16
61,100,16
65,40,61
61,60,61
60,80,61
56,100,61
48,80,61
54,60,61
42,40,61
40,20,61
64,80,97
61,100,97
56,100,97
32,60,97
28,60,97
57,80,97
43,80,97
42,80,97
65,60,97
60,80,97
65,60,16
69,100,141
62,100,158
56,100,158
71,100,137
64,100,137
62,80,137
61,80,137
71,100,160
43,100,160
56,100,160
28,80,160
65,100,89
56,80,89
62,80,160
69,100,72
67,100,72
66,100,72
71,100,16
69,100,16
62,60,16
43,100,171
62,100,171
61,80,171
56,100,171
69,100,169
60,100,171
48,60,171
32,100,171
29,80,171
64,100,74
69,100,74
71,100,74
65,80,74
71,20,7
69,100,7
66,100,141
69,100,175
64,80,175
61,100,175
54,100,175
43,100,175
32,80,175
56,100,174
61,100,174
32,80,178
43,80,181
71,80,178
54,100,182
69,100,178
71,80,186
65,80,186
56,100,186
43,100,186
56,100,187
43,100,187
64,20,187
62,100,187
60,100,187
61,100,77
56,80,14
80,100,190
61,100,190
80,100,82
71,100,82
80,100,191
43,100,191
56,100,191
61,100,191
80,100,192
32,40,89
27,60,89
80,80,193
69,100,193
61,100,193
56,100,193
80,100,71
43,100,71
56,100,71
80,80,178
60,100,198
82,100,178
82,100,72
80,100,72
58,80,72
82,100,175
40,60,89
64,40,89
83,100,160
54,80,160
85,80,72
85,100,31
85,80,175
54,100,141
85,100,37
42,80,207
29,100,207
85,80,16
29,100,208
85,80,208
80,100,208
85,100,210
85,100,178
86,80,178
66,60,16
43,80,211
86,40,175
85,100,75
81,20,75
64,20,75
63,20,75
61,100,75
86,100,171
85,100,171
83,100,171
82,100,171
86,80,16
63,40,16
69,80,213
43,80,213
43,100,215
61,100,215
85,100,215
83,100,215
71,100,215
88,100,215
85,100,160
80,100,216
61,100,216
56,100,216
43,100,216
29,100,216
89,100,218
